TR0016;Tubo PVC Semipesado 16mm;16mm;123
TR0020;Tubo PVC Semipesado 20mm;20mm;111
TR0022;Tubo PVC Semipesado 22mm;22mm;72
TR0025;Tubo PVC Semipesado 25mm;25mm;72
TR0032;Tubo PVC Semipesado 32mm;32mm;57
TR0040;Tubo PVC Semipesado 40mm;40mm;30
TR0050;Tubo PVC Semipesado 50mm;50mm;21
