KSRV 010 L;"Cano Hierro Galvanizado Liviano 5/8""";"5/8""";30
KSRV 034 L;"Cano Hierro Galvanizado Liviano 3/4""";"3/4""";30
KSRV 078 L;"Cano Hierro Galvanizado Liviano 7/8""";"7/8""";30
KSRV 100 L;"Cano Hierro Galvanizado Liviano 1""";"1""";21
KSRV 110 L;"Cano Hierro Galvanizado Liviano 1 1/4""";"1 1/4""";15
KSRV 112 L;"Cano Hierro Galvanizado Liviano 1 1/2""";"1 1/2""";15
KSRV 200 L;"Cano Hierro Galvanizado Liviano 2""";"2""";9
