TR0016EP;Tubo PVC Extrapesado 16mm;16mm;123
TR0020EP;Tubo PVC Extrapesado 20mm;20mm;111
TR0022EP;Tubo PVC Extrapesado 22mm;22mm;72
TR0025EP;Tubo PVC Extrapesado 25mm;25mm;72
TR0032EP;Tubo PVC Extrapesado 32mm;32mm;57
TR0040EP;Tubo PVC Extrapesado 40mm;40mm;30
TR0050EP;Tubo PVC Extrapesado 50mm;50mm;21
