-;"Hierro Liviano 5/8""";"5/8""";102
-;"Hierro Liviano 3/4""";"3/4""";90
-;"Hierro Liviano 7/8""";"7/8""";60
-;"Hierro Liviano 1""";"1""";60
-;"Hierro Liviano 1 1/4""";"1 1/4""";30
-;"Hierro Liviano 1 1/2""";"1 1/2""";30
-;"Hierro Liviano 2""";"2""";15
