20001051;Prensacable metalico ZA 1;"1/2""";3;6.5
20001052;Prensacable metalico ZA 2;"5/8""";4;8
20001053;Prensacable metalico ZA 3;"3/4""";6;12
20001054;Prensacable metalico ZA 4;"7/8""";10;14
20001055;Prensacable metalico ZA 5;"1""";13;18
20001056;Prensacable metalico ZA 6;"1 1/4""";18;25
20001057;Prensacable metalico ZA 7;"1 1/2""";22;32
