2;1;6.7;62;7
2;1.5;7.7;83;10
2;2.5;9.4;127;16
2;4;10.6;173;22
2;6;12.4;245;30
2;10;15.5;396;45
3;1;7.1;74;7
3;1.5;8.4;103;10
3;2.5;10.2;159;16
3;4;11.5;218;22
3;6;13.7;328;30
3;10;16.8;520;40
4;1;8.0;93;7
4;1.5;9.3;130;10
4;2.5;11.1;194;16
4;4;12.7;274;22
4;6;14.8;399;30
4;10;18.5;647;40
5;1.5;10.4;159;10
5;2.5;12.5;240;16
