1;0.75;2.3;11;8
1;1;2.5;15;10.5
1;1.5;3.0;20;13
1;2.5;3.6;31;18
1;4;4.1;45;25
1;6;4.7;63;32
1;10;6.0;107;44
1;16;7.0;167;59
1;25;9.6;268;77
1;35;10.8;361;96
1;50;12.8;511;117
1;70;14.6;698;149
1;95;16.8;899;180
1;120;19.7;1175;208
